,type,game_id,home_team,away_team_x,week,season_x,state_of_game,game_url,home_score,away_score,date,season_y,neutral,playoff,away_team_y,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
66,post,2014010501,GB,SF,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014010501/2014010501_gtd.json,20.0,23.0,2014-01-05,2013,0,w,SF,1505.612,1701.619,0.3199205571078039,0.6800794428921961,1497.24,1709.991,20,23
67,post,2014011100,SEA,NO,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014011100/2014011100_gtd.json,23.0,15.0,2014-01-11,2013,0,d,NO,1702.773,1620.454,0.7001550564009152,0.2998449435990847,1715.123,1608.105,23,15
68,post,2014011101,NE,IND,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014011101/2014011101_gtd.json,43.0,22.0,2014-01-11,2013,0,d,IND,1688.645,1572.73,0.7391259190725881,0.2608740809274119,1703.547,1557.828,43,22
69,post,2014011200,CAR,SF,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014011200/2014011200_gtd.json,10.0,23.0,2014-01-12,2013,0,d,SF,1638.339,1709.991,0.4904281720261689,0.509571827973831,1612.531,1735.798,10,23
70,post,2014011201,DEN,LAC,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014011201/2014011201_gtd.json,24.0,17.0,2014-01-12,2013,0,d,LAC,1687.083,1598.681,0.7074544564805888,0.2925455435194112,1698.457,1587.307,24,17
71,post,2014011900,DEN,NE,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014011900/2014011900_gtd.json,26.0,16.0,2014-01-19,2013,0,c,NE,1698.457,1703.547,0.5853729398827981,0.4146270601172018,1717.814,1684.189,26,16
72,post,2014011901,SEA,SF,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014011901/2014011901_gtd.json,23.0,17.0,2014-01-19,2013,0,c,SF,1715.123,1735.798,0.5634449645287851,0.4365550354712149,1731.777,1719.144,23,17
73,post,2014020200,DEN,SEA,18,2013,POST,http://www.nfl.com/liveupdate/game-center/2014020200/2014020200_gtd.json,8.0,43.0,2014-02-02,2013,1,s,SEA,1717.814,1731.777,0.479916439107819,0.520083560892181,1683.635,1765.956,8,43
74,post,2013010500,HOU,CIN,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010500/2013010500_gtd.json,19.0,13.0,2013-01-05,2012,0,w,CIN,1589.815,1594.026,0.5866005101600512,0.4133994898399488,1605.471,1578.37,19,13
75,post,2013010501,GB,MIN,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010501/2013010501_gtd.json,24.0,10.0,2013-01-05,2012,0,w,MIN,1662.31,1562.84,0.7204642139736417,0.2795357860263583,1676.397,1548.754,24,10
76,post,2013010600,BAL,IND,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010600/2013010600_gtd.json,24.0,9.0,2013-01-06,2012,0,w,IND,1593.088,1530.037,0.6763659359428568,0.3236340640571432,1610.047,1513.078,24,9
77,post,2013010601,WSH,SEA,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010601/2013010601_gtd.json,14.0,24.0,2013-01-06,2012,0,w,SEA,1552.776,1634.621,0.4757770734569798,0.5242229265430203,1530.132,1657.265,14,24
78,post,2013011200,DEN,BAL,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013011200/2013011200_gtd.json,35.0,38.0,2013-01-12,2012,0,d,BAL,1681.145,1610.047,0.6864216984343172,0.3135783015656828,1660.859,1630.334,35,38
79,post,2013011201,SF,GB,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013011201/2013011201_gtd.json,45.0,31.0,2013-01-12,2012,0,d,GB,1657.759,1676.397,0.5663270661155789,0.4336729338844211,1680.762,1653.393,45,31
80,post,2013011301,ATL,SEA,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013011301/2013011301_gtd.json,30.0,28.0,2013-01-13,2012,0,d,SEA,1641.02,1657.265,0.5697071272121572,0.4302928727878428,1650.269,1648.015,30,28
81,post,2013011300,NE,HOU,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013011300/2013011300_gtd.json,41.0,28.0,2013-01-13,2012,0,d,HOU,1732.387,1605.471,0.7511504190011024,0.2488495809988976,1744.468,1593.391,41,28
82,post,2013012001,ATL,SF,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013012001/2013012001_gtd.json,24.0,28.0,2013-01-20,2012,0,c,SF,1650.269,1680.762,0.5494969211512083,0.4505030788487917,1632.3,1698.732,24,28
83,post,2013012000,NE,BAL,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013012000/2013012000_gtd.json,13.0,28.0,2013-01-20,2012,0,c,BAL,1744.468,1630.334,0.7371442497652043,0.2628557502347957,1699.968,1674.833,13,28
84,post,2010010901,CIN,NYJ,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010010901/2010010901_gtd.json,14.0,24.0,2010-01-09,2009,0,w,NYJ,1518.926,1604.251,0.4707832951549036,0.5292167048450964,1496.555,1626.623,14,24
85,post,2010010900,DAL,PHI,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010010900/2010010900_gtd.json,34.0,14.0,2010-01-09,2009,0,w,PHI,1648.864,1637.142,0.6086514873270674,0.3913485126729326,1671.89,1614.116,34,14
86,post,2010011001,NE,BAL,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011001/2010011001_gtd.json,14.0,33.0,2010-01-10,2009,0,w,BAL,1638.206,1599.11,0.6454789199864045,0.3545210800135955,1597.612,1639.705,14,33
87,post,2010011000,ARI,GB,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011000/2010011000_gtd.json,51.0,45.0,2010-01-10,2009,0,w,GB,1548.373,1625.683,0.4822918953228732,0.5177081046771268,1568.635,1605.422,51,45
88,post,2010011601,NO,ARI,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011601/2010011601_gtd.json,45.0,14.0,2010-01-16,2009,0,d,ARI,1641.259,1568.635,0.6883094021593194,0.3116905978406806,1661.591,1548.302,45,14
89,post,2010011600,IND,BAL,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011600/2010011600_gtd.json,20.0,3.0,2010-01-16,2009,0,d,BAL,1648.042,1639.705,0.6040004115714714,0.3959995884285285,1670.195,1617.552,20,3
90,post,2010011700,MIN,DAL,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011700/2010011700_gtd.json,34.0,3.0,2010-01-17,2009,0,d,DAL,1597.926,1671.89,0.4871026286616312,0.5128973713383688,1633.623,1636.193,34,3
91,post,2010011701,LAC,NYJ,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011701/2010011701_gtd.json,14.0,17.0,2010-01-17,2009,0,d,NYJ,1688.527,1626.623,0.6749189659875391,0.3250810340124609,1668.669,1646.481,14,17
92,post,2010012400,IND,NYJ,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010012400/2010012400_gtd.json,30.0,17.0,2010-01-24,2009,0,c,NYJ,1670.195,1646.481,0.6249655957165314,0.3750344042834685,1689.222,1627.453,30,17
93,post,2010012401,NO,MIN,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010012401/2010012401_gtd.json,31.0,28.0,2010-01-24,2009,0,c,MIN,1661.591,1633.623,0.6306873840508231,0.3693126159491768,1671.416,1623.799,31,28
94,reg,2009091000,PIT,TEN,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091000/2009091000_gtd.json,13.0,10.0,2009-09-10,2009,0,,TEN,1644.566,1592.943,0.6618022369119954,0.3381977630880046,1653.471,1584.038,13,10
95,reg,2009091304,CLE,MIN,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091304/2009091304_gtd.json,20.0,34.0,2009-09-13,2009,0,,MIN,1423.137,1538.393,0.4281760329634692,0.5718239670365308,1400.465,1561.065,20,34
96,reg,2009091307,NO,DET,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091307/2009091307_gtd.json,45.0,27.0,2009-09-13,2009,0,,DET,1517.408,1329.224,0.8111414698247233,0.1888585301752766,1527.381,1319.25,45,27
97,reg,2009091308,TB,DAL,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091308/2009091308_gtd.json,21.0,34.0,2009-09-13,2009,0,,DAL,1483.712,1536.223,0.5179653785554286,0.4820346214445714,1456.217,1563.718,21,34
98,reg,2009091305,HOU,NYJ,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091305/2009091305_gtd.json,7.0,24.0,2009-09-13,2009,0,,NYJ,1505.421,1483.253,0.6228773923168216,0.3771226076831784,1467.929,1520.745,7,24
99,reg,2009091306,IND,JAX,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091306/2009091306_gtd.json,14.0,12.0,2009-09-13,2009,0,,JAX,1614.972,1462.719,0.7774052292349176,0.2225947707650823,1619.423,1458.268,14,12
100,reg,2009091303,CIN,DEN,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091303/2009091303_gtd.json,7.0,12.0,2009-09-13,2009,0,,DEN,1451.942,1451.247,0.5934318511248794,0.4065681488751206,1430.022,1473.167,7,12
101,reg,2009091302,CAR,PHI,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091302/2009091302_gtd.json,10.0,38.0,2009-09-13,2009,0,,PHI,1529.671,1603.684,0.4870321591695757,0.5129678408304242,1497.005,1636.35,10,38
